source,author,title,description,url,urlToImage,publishedAt,content,company,ticker
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,"U.S. Commerce official joins Taiwan's MediaTek as lobbyist: source, document - Reuters UK","A U.S. Commerce Department official who served as a liaison to businesses is joining Taiwan-based chip supplier MediaTek Inc <2454.TW> as a top lobbyist as the company seeks to ramp up its presence in Washington, a source familiar with the matter said.",https://uk.reuters.com/article/us-usa-commerce-mediatek-idUKKCN24U062,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2020-07-29T01:51:00Z,WASHINGTON (Reuters) - A U.S. Commerce Department official who served as a liaison to businesses is joining Taiwan-based chip supplier MediaTek Inc (2454.TW) as a top lobbyist as the company seeks to… [+1394 chars],Taiwan Semiconductor,TSM
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,"U.S. Commerce official joins Taiwan's MediaTek as lobbyist: source, document - Reuters","A U.S. Commerce Department official who served as a liaison to businesses is joining Taiwan-based chip supplier MediaTek Inc <2454.TW> as a top lobbyist as the company seeks to ramp up its presence in Washington, a source familiar with the matter said.",https://www.reuters.com/article/us-usa-commerce-mediatek-idUSKCN24U062,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2020-07-29T01:50:00Z,WASHINGTON (Reuters) - A U.S. Commerce Department official who served as a liaison to businesses is joining Taiwan-based chip supplier MediaTek Inc (2454.TW) as a top lobbyist as the company seeks to… [+1394 chars],Taiwan Semiconductor,TSM
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Samsung Elec shares rally on Intel's chip outsourcing plan - Reuters,"Shares of Samsung Electronics <005930.KS> rallied on Tuesday, joining its bigger rival TSMC <2330.TW>, driven by growing expectations that the chipmakers may benefit from Intel Corp's plan to outsource more chip manufacturing.",https://www.reuters.com/article/us-samsung-elec-intel-stocks-idUSKCN24T0C5,https://s4.reutersmedia.net/resources/r/?m=02&d=20200728&t=2&i=1527346133&w=1200&r=LYNXNPEG6R06T,2020-07-28T03:16:00Z,"SEOUL (Reuters) - Shares of Samsung Electronics (005930.KS) rallied on Tuesday, joining its bigger rival TSMC (2330.TW), driven by growing expectations that the chipmakers may benefit from Intel Corp… [+1506 chars]",Taiwan Semiconductor,TSM
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Samsung Electronics shares rally on Intel's chip outsourcing plan - Reuters India,"Shares of Samsung Electronics <005930.KS> rallied on Tuesday, joining its bigger rival TSMC <2330.TW>, driven by growing expectations that the chipmakers may benefit from Intel Corp's plan to outsource more chip manufacturing.",https://in.reuters.com/article/us-samsung-elec-intel-stocks-idINKCN24T0C5,https://s4.reutersmedia.net/resources/r/?m=02&d=20200728&t=2&i=1527346133&w=1200&r=LYNXNPEG6R06T,2020-07-28T03:25:00Z,"SEOUL (Reuters) - Shares of Samsung Electronics (005930.KS) rallied on Tuesday, joining its bigger rival TSMC (2330.TW), driven by growing expectations that the chipmakers may benefit from Intel Corp… [+1506 chars]",Taiwan Semiconductor,TSM
"{'id': 'reuters', 'name': 'Reuters'}",Stephen Nellis,"Intel chip delay forces shift to using more outside factories, shares drop - Reuters India","Intel Corp said on Thursday its new 7-nanometer chip technology was six months behind schedule and it would consider farming out more work to outside semiconductor foundries, eroding a founding principle that manufacturing is key to its success.",https://in.reuters.com/article/intel-results-idINKCN24P08W,https://s3.reutersmedia.net/resources/r/?m=02&d=20200724&t=2&i=1526944737&w=1200&r=LYNXNPEG6N04P,2020-07-24T04:38:00Z,"(Reuters) - Intel Corp said on Thursday its new 7-nanometer chip technology was six months behind schedule and it would consider farming out more work to outside semiconductor foundries, eroding a fo… [+3627 chars]",Taiwan Semiconductor,TSM
"{'id': 'business-insider', 'name': 'Business Insider'}",Hirsh Chitkara,Arm's conflicts in China will complicate Nvidia's reported efforts to buy it from SoftBank,"<ul>
<li>Arm and Arm China are reportedly engaged in a tense corporate governance conflict.</li>
<li>And Arm losing control of its joint venture will complicate Nvidia's reported efforts to buy Arm from SoftBank.</li>
</ul>
UK-based chip designer Arm appears …",https://www.businessinsider.com/arm-conflict-china-complicates-acquisition-prospects-2020-8,https://i.insider.com/5b69a922b354cd21008b4eb2?width=1200&format=jpeg,2020-08-04T16:17:08Z,"UK-based chip designer Arm appears to no longer be in control of its joint-venture business unit, Arm China. In May, Arm fired Allen Wu, the head of Arm China, but Wu refused to acknowledge the decis… [+2470 chars]",Taiwan Semiconductor,TSM
"{'id': 'reuters', 'name': 'Reuters'}",Noel Randewich,Intel shares dive on apparent manufacturing retreat; rival chip stocks jump - Reuters,Shares of Intel slumped and its rivals surged on Friday after the U.S. chipmaker signaled it may give up manufacturing its own components after falling far behind schedule developing its newest technology.,https://www.reuters.com/article/us-usa-chips-stocks-idUSKCN24P283,https://s4.reutersmedia.net/resources/r/?m=02&d=20200724&t=2&i=1527024020&w=1200&r=LYNXNPEG6N1F9,2020-07-24T16:57:00Z,(Reuters) - Shares of Intel slumped and its rivals surged on Friday after the U.S. chipmaker signaled it may give up manufacturing its own components after falling far behind schedule developing its … [+1675 chars],Taiwan Semiconductor,TSM
"{'id': 'reuters', 'name': 'Reuters'}",Noel Randewich,Intel shares dive on apparent manufacturing retreat; rival chip stocks jump - Reuters India,Shares of Intel slumped and its rivals surged on Friday after the U.S. chipmaker signaled it may give up manufacturing its own components after falling far behind schedule developing its newest technology.,https://in.reuters.com/article/us-usa-chips-stocks-idINKCN24P283,https://s4.reutersmedia.net/resources/r/?m=02&d=20200724&t=2&i=1527027018&w=1200&r=LYNXNPEG6N1F9,2020-07-24T17:10:00Z,(Reuters) - Shares of Intel (INTC.O) slumped and its rivals surged on Friday after the U.S. chipmaker signaled it may give up manufacturing its own components after falling far behind schedule develo… [+1739 chars],Taiwan Semiconductor,TSM
"{'id': None, 'name': 'Android Central'}",Michael Allison,The Mate 40 will be the last Huawei phone with a Kirin processor,"Huawei was banned from doing work with any U.S. companies last year, the ripple effects continue to stretch on.



What you need to know


Huawei is set to release the Mate 40 in September.
It would be the last of its smartphones to be powered by Huawei's hom…",https://www.androidcentral.com/mate-40-will-be-last-huawei-phone-kirin-processor,https://www.androidcentral.com/sites/androidcentral.com/files/styles/large/public/article_images/2020/06/huawei-p40-pro-plus-2.jpg,2020-08-07T17:12:33Z,"Huawei today confirmed that it would be launching the Mate 40 series later this year with its Kirin chips on board, reported by IT Home. It would be powered by the Kirin 9000, the company's most powe… [+1325 chars]",Taiwan Semiconductor,TSM
"{'id': None, 'name': 'Android Central'}",Harish Jonnalagadda,SMIC: Everything you need to know about China's answer to TSMC,"China is planning on becoming self-reliant with its homegrown semiconductor fab.





Jump to:


What is a foundry?
SMIC is China's best bet at semiconducter self-reliance




It's an interesting time in the semiconductor industry. Intel announced that it is …",https://www.androidcentral.com/smic-everything-you-need-know,https://www.androidcentral.com/sites/androidcentral.com/files/styles/large/public/article_images/2020/08/wafer-fab.jpg,2020-08-06T12:30:02Z,"It's an interesting time in the semiconductor industry. Intel announced that it is pushing its 7nm plans to 2022 or 2023 (losing further ground to AMD), Qualcomm just posted massive profits for Q2 20… [+4691 chars]",Taiwan Semiconductor,TSM
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,UPDATE 1-AMD forecasts current-quarter sales above estimates - Reuters,UPDATE 1-AMD forecasts current-quarter sales above estimates  Reuters,https://www.reuters.com/article/amd-results-idUSL3N2EZ48Q,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2020-07-28T20:31:00Z,"(Adds unit sales, background) 
July 28 (Reuters) - Advanced Micro Devices Inc raised its full-year revenue outlook on Tuesday, driven by a surge in chip demand from data-center operators and PC make… [+1987 chars]",Taiwan Semiconductor,TSM
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,"IBM rolls out newest processor chip, taps Samsung for manufacturing - Reuters",International Business Machines Corp announced on Monday a new processor chip for data centers that it says will be able to handle three times the workload of its predecessor.,https://www.reuters.com/article/us-ibm-samsung-elec-idUSKCN25D09L,https://s4.reutersmedia.net/resources/r/?m=02&d=20200817&t=2&i=1529862822&w=1200&r=LYNXNPEG7G03Y,2020-08-17T04:08:00Z,"(Reuters) - International Business Machines Corp (IBM.N) announced on Monday a new processor chip for data centers that it says will be able to handle three times the workload of its predecessor. 
T… [+1197 chars]",Taiwan Semiconductor,TSM
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,AMD raises full-year sales forecast on data center strength - Reuters,"Advanced Micro Devices Inc raised its full-year revenue outlook on Tuesday, driven by a surge in chip demand from data-center operators and PC makers scrambling to meet coronavirus-induced remote work needs.",https://www.reuters.com/article/us-amd-results-idUSKCN24T2V6,https://s3.reutersmedia.net/resources/r/?m=02&d=20200728&t=2&i=1527456098&w=1200&r=LYNXNPEG6R1MO,2020-07-28T21:18:00Z,"(Reuters) - Advanced Micro Devices Inc (AMD.O) raised its full-year revenue outlook on Tuesday, driven by a surge in chip demand from data-center operators and PC makers scrambling to meet coronaviru… [+2003 chars]",Taiwan Semiconductor,TSM
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,UPDATE 2-AMD raises full-year sales forecast on data center strength - Reuters India,"Advanced Micro Devices Inc raised its full-year revenue outlook on Tuesday, driven by a surge in chip demand from data-center operators and PC makers scrambling to meet coronavirus-induced remote work needs.",https://uk.reuters.com/article/us-amd-results-idUKKCN24T2V6,https://s3.reutersmedia.net/resources/r/?m=02&d=20200728&t=2&i=1527456098&w=1200&r=LYNXNPEG6R1MO,2020-07-28T20:31:00Z,"(Reuters) - Advanced Micro Devices Inc (AMD.O) raised its full-year revenue outlook on Tuesday, driven by a surge in chip demand from data-center operators and PC makers scrambling to meet coronaviru… [+2003 chars]",Taiwan Semiconductor,TSM
"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,SMIC founder says 'optimistic' China can catch up with U.S. in semiconductors - Reuters,"The founder of China's largest chipmaker SMIC said on Tuesday he was ""optimistic"" China could catch up with the United States in the next generation of semiconductors but that U.S. efforts to contain its technology sector could not be taken ""lightly"".",https://www.reuters.com/article/us-china-semiconductors-idUSKCN2510V5,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2020-08-05T07:42:00Z,SHANGHAI (Reuters) - The founder of China’s largest chipmaker SMIC said on Tuesday he was “optimistic” China could catch up with the United States in the next generation of semiconductors but that U.… [+1989 chars],Taiwan Semiconductor,TSM
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Anthony Ha,Verizon adds free Hulu and ESPN+ to some unlimited wireless plans,Verizon and Disney announced this morning that they’re extending and expanding a partnership that gives some Verizon Wireless subscribers access to Disney’s streaming services at no addition charge. The companies announced last fall that Verizon (which owns T…,http://techcrunch.com/2020/08/17/verizon-disney-bundle/,https://techcrunch.com/wp-content/uploads/2020/03/Hulu-on-Xfinity-Hulu-Screens.jpg?w=711,2020-08-17T16:58:07Z,Verizon and Disney announced this morning that they’re extending and expanding a partnership that gives some Verizon Wireless subscribers access to Disney’s streaming services at no addition charge.… [+1307 chars],Verizon,VZ
